中央台,#genre#
CCTV1,http://39.134.13.35:6610/180000001001/00000001000000000007000000001243/index.m3u8?
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000007000000001243/main.m3u8
CCTV2,http://39.134.13.35:6610/180000001001/00000001000000000008000000047431/index.m3u8?
CCTV2,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047431/main.m3u8
CCTV3,http://39.134.13.35:6610/180000001001/00000001000000000008000000047432/index.m3u8?
CCTV3,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047432/main.m3u8
CCTV4,http://39.134.13.35:6610/180000001001/00000001000000000008000000047433/index.m3u8?
CCTV4,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047433/main.m3u8
CCTV 4K,http://tvgslb.hn.chinamobile.com:8089/180000001001/32023092211020848462000290559536/index.m3u8
CCTV5,http://39.134.13.35:6610/180000001001/00000001000000000008000000047434/index.m3u8?
CCTV5,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047434/main.m3u8
CCTV5+,http://39.134.13.35:6610/180000001001/00000001000000000008000000047442/index.m3u8?
CCTV5+,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047442/main.m3u8
CCTV6,http://39.134.13.35:6610/180000001001/00000001000000000008000000047435/index.m3u8?
CCTV6,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047435/main.m3u8
CCTV7,http://39.134.13.35:6610/180000001001/00000001000000000008000000047436/index.m3u8?
CCTV7,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047436/main.m3u8
CCTV8,http://39.134.13.35:6610/180000001001/00000001000000000008000000047437/index.m3u8?
CCTV8,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047437/main.m3u8
CCTV9,http://39.134.13.35:6610/180000001001/00000001000000000008000000047438/index.m3u8?
CCTV9,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047438/main.m3u8
CCTV10,http://39.134.13.35:6610/180000001001/00000001000000000008000000047439/index.m3u8?
CCTV10,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047439/main.m3u8
CCTV11,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000026000000446966/main.m3u8
CCTV12,http://39.134.13.35:6610/180000001001/00000001000000000008000000047440/index.m3u8?
CCTV12,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047440/main.m3u8
CCTV13,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000050000000133801/main.m3u8
CCTV14,http://39.134.13.35:6610/180000001001/00000001000000000008000000047441/index.m3u8?
CCTV13,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000050000000133801/main.m3u8
CCTV14,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000008000000047441/main.m3u8
CCTV15,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000026000000446967/main.m3u8
CCTV16,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000079000000434986/main.m3u8
CCTV16 4K,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000085000000178450/main.m3u8
CCTV17,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000025000000024152/main.m3u8
CGTN,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000000000000020000000000182292/main.m3u8
CGTN纪录,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000000000000020000000000182305/main.m3u8
CETV-1,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000016000000007220/main.m3u8
CETV-2,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000024000000361367/main.m3u8
CETV-4,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000024000000361368/main.m3u8

凤凰台,#genre#
凤凰中文,http://k.061899.xyz/k.php?id=fhzw
凤凰中文,https://cdn.qd.je/163189/fhzw
凤凰中文,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4
凤凰中文,http://61.178.227.57:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4
凤凰中文,http://t.061899.xyz/tl/js/js.php?id=fhwszwt
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰中文,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰资讯,http://k.061899.xyz/k.php?id=fhzx
凤凰资讯,https://cdn.qd.je/163189/fhzx
凤凰资讯,http://61.178.227.57:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路2』
凤凰资讯,http://61.178.227.57:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb24]/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰香港,http://k.061899.xyz/k.php?id=fhhk


湖南台,#genre#
湖南卫视,http://39.134.13.35:6610/180000001001/00000001000000000007000000001242/index.m3u8?
湖南卫视,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000007000000001242/main.m3u8
湖南经视,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000002000000113182/main.m3u8
湖南都市,http://39.134.13.35:6610/180000001001/00000001000000000007000000001249/index.m3u8?
湖南都市,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000007000000001249/main.m3u8
湖南娱乐,http://39.134.13.35:6610/180000001001/00000001000000000007000000001248/index.m3u8?
